ordinal	index	mode	phase	addr	reg	command
107	26	1	clear	0x0012	0x0000	0x02120000
108	27	0	assert	0x0013	0x0000	0x05130000
109	27	0	clear	0x0013	0x0000	0x01130000
110	27	1	assert	0x0013	0x0000	0x06130000
111	27	1	clear	0x0013	0x0000	0x02130000
112	28	0	assert	0x0014	0x0061	0x05140061
113	28	0	clear	0x0014	0x0061	0x01140061
114	28	1	assert	0x0014	0x0061	0x06140061
115	28	1	clear	0x0014	0x0061	0x02140061
116	29	0	assert	0x0015	0x0000	0x05150000
117	29	0	clear	0x0015	0x0000	0x01150000
118	29	1	assert	0x0015	0x0000	0x06150000
119	29	1	clear	0x0015	0x0000	0x02150000
120	30	0	assert	0x0016	0x0004	0x05160004
121	30	0	clear	0x0016	0x0004	0x01160004
122	30	1	assert	0x0016	0x0004	0x06160004
123	30	1	clear	0x0016	0x0004	0x02160004
124	31	0	assert	0x0017	0x0000	0x05170000
125	31	0	clear	0x0017	0x0000	0x01170000
126	31	1	assert	0x0017	0x0000	0x06170000
127	31	1	clear	0x0017	0x0000	0x02170000
128	32	0	assert	0x0018	0x0204	0x05180204
129	32	0	clear	0x0018	0x0204	0x01180204
130	32	1	assert	0x0018	0x0204	0x06180204
131	32	1	clear	0x0018	0x0204	0x02180204
132	33	0	assert	0x0019	0x0403	0x05190403
133	33	0	clear	0x0019	0x0403	0x01190403
134	33	1	assert	0x0019	0x0403	0x06190403
135	33	1	clear	0x0019	0x0403	0x02190403
136	34	0	assert	0x001a	0x0000	0x051a0000
137	34	0	clear	0x001a	0x0000	0x011a0000
138	34	1	assert	0x001a	0x0000	0x061a0000
139	34	1	clear	0x001a	0x0000	0x021a0000
140	35	0	assert	0x001b	0x0000	0x051b0000
141	35	0	clear	0x001b	0x0000	0x011b0000
142	35	1	assert	0x001b	0x0000	0x061b0000
143	35	1	clear	0x001b	0x0000	0x021b0000
144	36	0	assert	0x001c	0x00aa	0x051c00aa
145	36	0	clear	0x001c	0x00aa	0x011c00aa
146	36	1	assert	0x001c	0x00aa	0x061c00aa
147	36	1	clear	0x001c	0x00aa	0x021c00aa
148	37	0	assert	0x001d	0x0058	0x051d0058
149	37	0	clear	0x001d	0x0058	0x011d0058
150	37	1	assert	0x001d	0x0058	0x061d0058
151	37	1	clear	0x001d	0x0058	0x021d0058
152	38	0	assert	0x001e	0x0004	0x051e0004
153	38	0	clear	0x001e	0x0004	0x011e0004
154	38	1	assert	0x001e	0x0004	0x061e0004
155	38	1	clear	0x001e	0x0004	0x021e0004
156	39	0	assert	0x001f	0x0000	0x051f0000
157	39	0	clear	0x001f	0x0000	0x011f0000
158	39	1	assert	0x001f	0x0000	0x061f0000
159	39	1	clear	0x001f	0x0000	0x021f0000
160	40	0	assert	0x0020	0x0204	0x05200204
161	40	0	clear	0x0020	0x0204	0x01200204
162	40	1	assert	0x0020	0x0204	0x06200204
163	40	1	clear	0x0020	0x0204	0x02200204
164	41	0	assert	0x0021	0x0403	0x05210403
165	41	0	clear	0x0021	0x0403	0x01210403
166	41	1	assert	0x0021	0x0403	0x06210403
167	41	1	clear	0x0021	0x0403	0x02210403
168	42	0	assert	0x0022	0x0000	0x05220000
169	42	0	clear	0x0022	0x0000	0x01220000
170	42	1	assert	0x0022	0x0000	0x06220000
171	42	1	clear	0x0022	0x0000	0x02220000
172	43	0	assert	0x0023	0x0000	0x05230000
173	43	0	clear	0x0023	0x0000	0x01230000
174	43	1	assert	0x0023	0x0000	0x06230000
175	43	1	clear	0x0023	0x0000	0x02230000
176	44	0	assert	0x0024	0x0094	0x05240094
177	44	0	clear	0x0024	0x0094	0x01240094
178	44	1	assert	0x0024	0x0094	0x06240094
179	44	1	clear	0x0024	0x0094	0x02240094
180	45	0	assert	0x0025	0x0069	0x05250069
181	45	0	clear	0x0025	0x0069	0x01250069
182	45	1	assert	0x0025	0x0069	0x06250069
183	45	1	clear	0x0025	0x0069	0x02250069
184	46	0	assert	0x0026	0x0004	0x05260004
185	46	0	clear	0x0026	0x0004	0x01260004
186	46	1	assert	0x0026	0x0004	0x06260004
